id_product;id_feature;id_feature_value;
"58";"10";"30";
"58";"11";"33";
"58";"13";"40";
"58";"14";"42";
"58";"16";"46";
"58";"17";"48";
"58";"18";"50";
"58";"19";"52";
"58";"32";"87";
"58";"34";"90";
"58";"39";"79";
"58";"47";"77";
"58";"48";"76";
"58";"49";"117";
"58";"60";"2411";
"58";"85";"2466";
"58";"95";"2476";
"58";"96";"2478";
"58";"99";"60865";
"58";"100";"60866";
"59";"1";"125";
"59";"8";"25";
"59";"9";"27";
"59";"10";"30";
"59";"13";"40";
"59";"18";"50";
"59";"19";"52";
"59";"32";"87";
"59";"34";"90";
"59";"39";"79";
"59";"45";"98";
"59";"46";"99";
"59";"47";"77";
"59";"48";"75";
"59";"49";"124";
"59";"54";"176";
"59";"60";"2411";
"59";"85";"2466";
"59";"99";"33970";
"60";"1";"127";
"60";"9";"27";
"60";"10";"30";
"60";"13";"40";
"60";"16";"46";
"60";"21";"56";
"60";"39";"79";
"60";"47";"77";
"60";"48";"75";
"60";"49";"128";
"60";"66";"2417";
"60";"69";"2420";
"60";"73";"2428";
"60";"75";"2425";
"60";"77";"2430";
"60";"80";"2437";
"60";"81";"2429";
"60";"82";"2465";
"60";"85";"2466";
"60";"89";"2471";
"60";"95";"2476";
"60";"99";"21963";
"60";"100";"21964";
"61";"1";"130";
"61";"9";"27";
"61";"10";"30";
"61";"17";"48";
"61";"47";"77";
"61";"48";"75";
"61";"66";"2417";
"61";"67";"2418";
"61";"69";"2420";
"61";"73";"2428";
"61";"75";"2425";
"61";"76";"2424";
"61";"77";"2430";
"61";"80";"2443";
"61";"81";"2429";
"61";"82";"2465";
"61";"84";"2463";
"61";"85";"2466";
"61";"86";"2468";
"61";"95";"2476";
"61";"98";"2479";
"61";"99";"25451";
"61";"100";"25452";
"62";"1";"116";
"62";"8";"25";
"62";"9";"27";
"62";"13";"40";
"62";"14";"42";
"62";"17";"48";
"62";"21";"56";
"62";"46";"99";
"62";"47";"77";
"62";"48";"75";
"62";"49";"13125";
"62";"54";"176";
"62";"59";"2410";
"62";"66";"2417";
"62";"67";"2418";
"62";"69";"2420";
"62";"73";"2428";
"62";"75";"2425";
"62";"76";"2424";
"62";"77";"2430";
"62";"80";"2446";
"62";"81";"2429";
"62";"82";"2465";
"62";"85";"2466";
"62";"86";"2468";
"62";"95";"2476";
"62";"98";"2479";
"62";"99";"45512";
"62";"100";"45513";
